PointID,X,Y,Z
0,0.005,0,0.000625
1,0.005,0,0.00125
2,0.005,0,0.001875
3,0.005,0,0.0025
4,0.005,0,0.003125
5,0.005,0,0.00375
6,0.005,0,0.004375
7,0.005,0,0.005
8,0.005,0,0.005625
9,0.005,0,0.00625
10,0.005,0,0.006875
11,0.005,0,0.0075
12,0.005,0,0.008125
13,0.005,0,0.00875
14,0.005,0,0.009375
15,0.005,0,0.01
16,0.005,0,0.010625
17,0.005,0,0.01125
18,0.005,0,0.011875
19,0.005,0,0.0125
20,0,0.005,0.000625
21,0,0.005,0.00125
22,0,0.005,0.001875
23,0,0.005,0.0025
24,0,0.005,0.003125
25,0,0.005,0.00375
26,0,0.005,0.004375
27,0,0.005,0.005
28,0,0.005,0.005625
29,0,0.005,0.00625
30,0,0.005,0.006875
31,0,0.005,0.0075
32,0,0.005,0.008125
33,0,0.005,0.00875
34,0,0.005,0.009375
35,0,0.005,0.01
36,0,0.005,0.010625
37,0,0.005,0.01125
38,-0.005,0,0.000625
39,-0.005,0,0.00125
40,-0.005,0,0.001875
41,-0.005,0,0.0025
42,-0.005,0,0.003125
43,-0.005,0,0.00375
44,-0.005,0,0.004375
45,-0.005,0,0.005
46,-0.005,0,0.005625
47,-0.005,0,0.00625
48,-0.005,0,0.006875
49,-0.005,0,0.0075
50,-0.005,0,0.008125
51,-0.005,0,0.00875
52,-0.005,0,0.009375
53,-0.005,0,0.01
54,-0.005,0,0.010625
55,-0.005,0,0.01125
56,0,-0.005,0.000625
57,0,-0.005,0.00125
58,0,-0.005,0.001875
59,0,-0.005,0.0025
60,0,-0.005,0.003125
61,0,-0.005,0.00375
62,0,-0.005,0.004375
63,0,-0.005,0.005
64,0,-0.005,0.005625
65,0,-0.005,0.00625
66,0,-0.005,0.006875
67,0,-0.005,0.0075
68,0,-0.005,0.008125
69,0,-0.005,0.00875
70,0,-0.005,0.009375
71,0,-0.005,0.01
72,0,-0.005,0.010625
73,0,-0.005,0.01125
74,0.00482963,0.0012941,0.000625
75,0.00482963,0.0012941,0.00125
76,0.00482963,0.0012941,0.001875
77,0.00482963,0.0012941,0.0025
78,0.00482963,0.0012941,0.003125
79,0.00482963,0.0012941,0.00375
80,0.00482963,0.0012941,0.004375
81,0.00482963,0.0012941,0.005
82,0.00482963,0.0012941,0.005625
83,0.00482963,0.0012941,0.00625
84,0.00482963,0.0012941,0.006875
85,0.00482963,0.0012941,0.0075
86,0.00482963,0.0012941,0.008125
87,0.00482963,0.0012941,0.00875
88,0.00482963,0.0012941,0.009375
89,0.00482963,0.0012941,0.01
90,0.00482963,0.0012941,0.010625
91,0.00482963,0.0012941,0.01125
92,0.00482963,0.0012941,0.011875
93,0.00482963,0.0012941,0.0125
94,0.00433013,0.0025,0.000625
95,0.00433013,0.0025,0.00125
96,0.00433013,0.0025,0.001875
