PointID,X,Y,Z
0,0.005,0,0.025
1,0.005,0,0.025625
2,0.005,0,0.02625
3,0.005,0,0.026875
4,0.005,0,0.0275
5,0.005,0,0.028125
6,0.005,0,0.02875
7,0.005,0,0.029375
8,0.005,0,0.03
9,0.005,0,0.030625
10,0.005,0,0.03125
11,0.005,0,0.031875
12,0.005,0,0.0325
13,0.005,0,0.033125
14,0.005,0,0.03375
15,0.005,0,0.034375
16,0.005,0,0.035
17,0.005,0,0.035625
18,0.005,0,0.03625
19,0.005,0,0.036875
20,0.005,0,0.0375
21,0,0.005,0.025
22,0,0.005,0.025625
23,0,0.005,0.02625
24,0,0.005,0.026875
25,0,0.005,0.0275
26,0,0.005,0.028125
27,0,0.005,0.02875
28,0,0.005,0.029375
29,0,0.005,0.03
30,0,0.005,0.030625
31,0,0.005,0.03125
32,0,0.005,0.031875
33,0,0.005,0.0325
34,0,0.005,0.033125
35,0,0.005,0.03375
36,0,0.005,0.034375
37,0,0.005,0.035
38,0,0.005,0.035625
39,0,0.005,0.03625
40,0,0.005,0.036875
41,0,0.005,0.0375
42,-0.005,0,0.025625
43,-0.005,0,0.02625
44,-0.005,0,0.026875
45,-0.005,0,0.0275
46,-0.005,0,0.028125
47,-0.005,0,0.02875
48,-0.005,0,0.029375
49,-0.005,0,0.03
50,-0.005,0,0.030625
51,-0.005,0,0.03125
52,-0.005,0,0.031875
53,-0.005,0,0.0325
54,-0.005,0,0.033125
55,-0.005,0,0.03375
56,-0.005,0,0.034375
57,-0.005,0,0.035
58,-0.005,0,0.035625
59,-0.005,0,0.03625
60,-0.005,0,0.036875
61,-0.005,0,0.0375
62,-0.005,0,0.038125
63,0,-0.005,0.025625
64,0,-0.005,0.02625
65,0,-0.005,0.026875
66,0,-0.005,0.0275
67,0,-0.005,0.028125
68,0,-0.005,0.02875
69,0,-0.005,0.029375
70,0,-0.005,0.03
71,0,-0.005,0.030625
72,0,-0.005,0.03125
73,0,-0.005,0.031875
74,0,-0.005,0.0325
75,0,-0.005,0.033125
76,0,-0.005,0.03375
77,0,-0.005,0.034375
78,0,-0.005,0.035
79,0,-0.005,0.035625
80,0,-0.005,0.03625
81,0,-0.005,0.036875
