PointID,X,Y,Z
0,0.005,0,0.013125
1,0.005,0,0.01375
2,0.005,0,0.014375
3,0.005,0,0.015
4,0.005,0,0.015625
5,0.005,0,0.01625
6,0.005,0,0.016875
7,0.005,0,0.0175
8,0.005,0,0.018125
9,0.005,0,0.01875
10,0.005,0,0.019375
11,0.005,0,0.02
12,0.005,0,0.020625
13,0.005,0,0.02125
14,0.005,0,0.021875
15,0.005,0,0.0225
16,0.005,0,0.023125
17,0.005,0,0.02375
18,0.005,0,0.024375
19,0,0.005,0.011875
20,0,0.005,0.0125
21,0,0.005,0.013125
22,0,0.005,0.01375
23,0,0.005,0.014375
24,0,0.005,0.015
25,0,0.005,0.015625
26,0,0.005,0.01625
27,0,0.005,0.016875
28,0,0.005,0.0175
29,0,0.005,0.018125
30,0,0.005,0.01875
31,0,0.005,0.019375
32,0,0.005,0.02
33,0,0.005,0.020625
34,0,0.005,0.02125
35,0,0.005,0.021875
36,0,0.005,0.0225
37,0,0.005,0.023125
38,0,0.005,0.02375
39,0,0.005,0.024375
40,-0.005,0,0.011875
41,-0.005,0,0.0125
42,-0.005,0,0.013125
43,-0.005,0,0.01375
44,-0.005,0,0.014375
45,-0.005,0,0.015
46,-0.005,0,0.015625
47,-0.005,0,0.01625
48,-0.005,0,0.016875
49,-0.005,0,0.0175
50,-0.005,0,0.018125
51,-0.005,0,0.01875
52,-0.005,0,0.019375
53,-0.005,0,0.02
54,-0.005,0,0.020625
55,-0.005,0,0.02125
56,-0.005,0,0.021875
57,-0.005,0,0.0225
58,-0.005,0,0.023125
59,-0.005,0,0.02375
60,-0.005,0,0.024375
61,-0.005,0,0.025
62,0,-0.005,0.011875
63,0,-0.005,0.0125
64,0,-0.005,0.013125
65,0,-0.005,0.01375
66,0,-0.005,0.014375
67,0,-0.005,0.015
68,0,-0.005,0.015625
69,0,-0.005,0.01625
70,0,-0.005,0.016875
71,0,-0.005,0.0175
72,0,-0.005,0.018125
73,0,-0.005,0.01875
74,0,-0.005,0.019375
75,0,-0.005,0.02
76,0,-0.005,0.020625
77,0,-0.005,0.02125
78,0,-0.005,0.021875
79,0,-0.005,0.0225
80,0,-0.005,0.023125
81,0,-0.005,0.02375
82,0,-0.005,0.024375
83,0,-0.005,0.025
84,0.00482963,0.0012941,0.013125
85,0.00482963,0.0012941,0.01375
86,0.00482963,0.0012941,0.014375
87,0.00482963,0.0012941,0.015
88,0.00482963,0.0012941,0.015625
89,0.00482963,0.0012941,0.01625
90,0.00482963,0.0012941,0.016875
91,0.00482963,0.0012941,0.0175
92,0.00482963,0.0012941,0.018125
93,0.00482963,0.0012941,0.01875
94,0.00482963,0.0012941,0.019375
95,0.00482963,0.0012941,0.02
96,0.00482963,0.0012941,0.020625
97,0.00482963,0.0012941,0.02125
98,0.00482963,0.0012941,0.021875
99,0.00482963,0.0012941,0.0225
100,0.00482963,0.0012941,0.023125
101,0.00482963,0.0012941,0.02375
102,0.00482963,0.0012941,0.024375
103,0.00433013,0.0025,0.01375
104,0.00433013,0.0025,0.014375
105,0.00433013,0.0025,0.015
106,0.00433013,0.0025,0.015625
107,0.00433013,0.0025,0.01625
108,0.00433013,0.0025,0.016875
109,0.00433013,0.0025,0.0175
110,0.00433013,0.0025,0.018125
111,0.00433013,0.0025,0.01875
112,0.00433013,0.0025,0.019375
113,0.00433013,0.0025,0.02
114,0.00433013,0.0025,0.020625
115,0.00433013,0.0025,0.02125
116,0.00433013,0.0025,0.021875
117,0.00433013,0.0025,0.0225
118,0.00433013,0.0025,0.023125
119,0.00433013,0.0025,0.02375
120,0.00433013,0.0025,0.024375
121,0.00353553,0.00353553,0.01375
122,0.00353553,0.00353553,0.014375
123,0.00353553,0.00353553,0.015
124,0.00353553,0.00353553,0.015625
125,0.00353553,0.00353553,0.01625
126,0.00353553,0.00353553,0.016875
127,0.00353553,0.00353553,0.0175
128,0.00353553,0.00353553,0.018125
129,0.00353553,0.00353553,0.01875
130,0.00353553,0.00353553,0.019375
131,0.00353553,0.00353553,0.02
132,0.00353553,0.00353553,0.020625
133,0.00353553,0.00353553,0.02125
134,0.00353553,0.00353553,0.021875
135,0.00353553,0.00353553,0.0225
136,0.00353553,0.00353553,0.023125
137,0.00353553,0.00353553,0.02375
138,0.00353553,0.00353553,0.024375
139,0.0025,0.00433013,0.01375
140,0.0025,0.00433013,0.014375
141,0.0025,0.00433013,0.015
142,0.0025,0.00433013,0.015625
143,0.0025,0.00433013,0.01625
144,0.0025,0.00433013,0.016875
145,0.0025,0.00433013,0.0175
146,0.0025,0.00433013,0.018125
147,0.0025,0.00433013,0.01875
148,0.0025,0.00433013,0.019375
149,0.0025,0.00433013,0.02
150,0.0025,0.00433013,0.020625
151,0.0025,0.00433013,0.02125
152,0.0025,0.00433013,0.021875
153,0.0025,0.00433013,0.0225
154,0.0025,0.00433013,0.023125
155,0.0025,0.00433013,0.02375
156,0.0025,0.00433013,0.024375
157,0.0012941,0.00482963,0.0125
158,0.0012941,0.00482963,0.013125
159,0.0012941,0.00482963,0.01375
160,0.0012941,0.00482963,0.014375
161,0.0012941,0.00482963,0.015
162,0.0012941,0.00482963,0.015625
