PointID,X,Y,Z
0,0.005,0,0.000625
1,0.005,0,0.00125
2,0.005,0,0.001875
3,0.005,0,0.0025
4,0.005,0,0.003125
5,0.005,0,0.00375
6,0.005,0,0.004375
7,0.005,0,0.005
8,0.005,0,0.005625
9,0.005,0,0.00625
10,0.005,0,0.006875
11,0.005,0,0.0075
12,0.005,0,0.008125
13,0.005,0,0.00875
14,0.005,0,0.009375
15,0.005,0,0.01
16,0.005,0,0.010625
17,0.005,0,0.01125
18,0.005,0,0.011875
19,0.005,0,0.0125
20,0.005,0,0.013125
21,0.005,0,0.01375
22,0.005,0,0.014375
23,0.005,0,0.015
24,0.005,0,0.015625
25,0.005,0,0.01625
26,0.005,0,0.016875
27,0.005,0,0.0175
28,0.005,0,0.018125
29,0.005,0,0.01875
30,0.005,0,0.019375
31,0.005,0,0.02
32,0.005,0,0.020625
33,0.005,0,0.02125
34,0.005,0,0.021875
35,0.005,0,0.0225
36,0.005,0,0.023125
37,0.005,0,0.02375
38,0.005,0,0.024375
39,0.005,0,0.025
40,0.005,0,0.025625
41,0.005,0,0.02625
42,0.005,0,0.026875
43,0.005,0,0.0275
44,0.005,0,0.028125
45,0.005,0,0.02875
46,0.005,0,0.029375
47,0.005,0,0.03
48,0.005,0,0.030625
49,0.005,0,0.03125
50,0.005,0,0.031875
51,0.005,0,0.0325
52,0.005,0,0.033125
53,0.005,0,0.03375
54,0.005,0,0.034375
55,0.005,0,0.035
56,0.005,0,0.035625
57,0.005,0,0.03625
58,0.005,0,0.036875
59,0.005,0,0.0375
60,0.005,0,0.038125
61,0.005,0,0.03875
62,0.005,0,0.039375
63,0.005,0,0.04
64,0.005,0,0.040625
65,0.005,0,0.04125
66,0.005,0,0.041875
67,0.005,0,0.0425
68,0.005,0,0.043125
69,0.005,0,0.04375
70,0.005,0,0.044375
71,0.005,0,0.045
72,0.005,0,0.045625
73,0.005,0,0.04625
74,0.005,0,0.046875
75,0.005,0,0.0475
76,0.005,0,0.048125
77,0.005,0,0.04875
78,0.005,0,0.049375
79,0,0.005,0.000625
80,0,0.005,0.00125
81,0,0.005,0.001875
82,0,0.005,0.0025
83,0,0.005,0.003125
84,0,0.005,0.00375
85,0,0.005,0.004375
86,0,0.005,0.005
87,0,0.005,0.005625
88,0,0.005,0.00625
89,0,0.005,0.006875
90,0,0.005,0.0075
91,0,0.005,0.008125
92,0,0.005,0.00875
93,0,0.005,0.009375
94,0,0.005,0.01
95,0,0.005,0.010625
96,0,0.005,0.01125
97,0,0.005,0.011875
98,0,0.005,0.0125
99,0,0.005,0.013125
100,0,0.005,0.01375
101,0,0.005,0.014375
102,0,0.005,0.015
103,0,0.005,0.015625
104,0,0.005,0.01625
105,0,0.005,0.016875
106,0,0.005,0.0175
107,0,0.005,0.018125
108,0,0.005,0.01875
109,0,0.005,0.019375
110,0,0.005,0.02
